TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;1,02;;-0,03;-0,03;0,02;-3,74;-173,59;-224,73;-0,04;-1,34;-1,30;;0,07;-0,17;-0,03;0,72;-84,29;-76,06;1.223,14;-0,90;1,90;0,34;-15,11;;36.221.304,33;-40,62;-34,24;0,00;689.124.816,66
OIBR4;2,01;;-0,06;-0,05;0,04;-3,74;-173,59;-224,73;-0,08;-1,34;-1,30;;0,13;-0,34;-0,07;0,72;-84,29;-76,06;1.223,14;-0,90;1,90;0,34;-15,11;;1.120.315,86;-40,62;-34,24;0,00;689.124.816,66
OMGE3;27,57;;60,97;1.294,14;443,36;28,35;29,22;7,11;14,84;14,86;0,01;1,10;4,34;17.603,37;-525,74;1,19;2.122,56;727,18;3.736,63;0,34;0,66;102,22;34,84;-2,04;;0,02;0,45;-0,75;5.521.562.588,85
ONCO3;9,78;;23,52;2,33;0,60;35,93;14,63;4,16;6,69;10,60;3,91;1,36;0,98;5,92;-0,87;1,48;9,90;2,55;11,13;0,26;0,69;0,61;;;32.252.149,00;4,20;0,42;-0,01;5.158.770.028,44
OPCT3;5,70;;13,97;1,43;0,47;22,65;16,79;5,27;4,39;8,16;3,77;1,23;0,74;5,48;-0,67;1,41;10,27;3,37;11,91;0,33;0,67;0,64;47,73;62,06;4.067.299,57;3,97;0,41;-0,08;1.139.769.457,80
ORVR3;33,76;;-22,48;4,54;1,25;30,63;17,55;-16,46;21,08;28,19;7,11;1,53;3,70;8,41;-1,71;2,22;-20,17;-5,56;5,58;0,28;0,70;0,34;22,01;;12.212.934,62;7,44;-1,50;-0,43;2.800.422.012,64
OSXB3;4,86;;-0,05;0,00;0,01;90,64;1.360,32;-767,58;0,03;10,15;10,13;;0,36;-0,02;-0,01;0,02;-5,25;-12,01;-115,00;-2,29;3,29;0,02;26,98;;59.499,86;-1.978,77;-103,90;0,00;15.299.464,68
PARD3;20,25;10,64;36,76;5,30;2,10;26,45;13,31;6,98;19,27;19,93;0,66;0,18;2,57;-54,06;-3,28;0,90;14,42;5,70;14,80;0,40;0,60;0,82;13,44;2,56;7.882.065,83;3,82;0,55;-1,04;5.403.493.010,25
PATI3;29,92;1,61;137,12;0,85;0,42;8,88;2,27;0,28;16,68;14,30;-2,39;-0,12;0,38;0,86;-1,80;2,78;0,62;0,31;1,75;0,50;0,50;1,11;23,42;-21,30;5.938,86;35,34;0,22;-1,47;716.138.503,36
PATI4;30,00;7,03;137,49;0,85;0,42;8,88;2,27;0,28;16,73;14,30;-2,39;-0,12;0,38;0,86;-1,80;2,78;0,62;0,31;1,75;0,50;0,50;1,11;23,42;-21,30;10.950,00;35,34;0,22;-1,48;716.138.503,36
PCAR3;3,60;;-0,33;0,19;0,04;-79,59;-212,24;-1.200,41;-1,87;-6,31;-4,44;0,46;3,97;0,51;-0,07;1,32;-58,63;-12,96;-11,07;0,22;0,78;0,01;-17,25;;42.268.642,45;18,57;-10,89;0,00;972.500.648,40
PCAR4;72,11;;-6,62;3,88;0,86;-79,59;-212,24;-1.200,41;-37,46;-6,31;-4,44;0,46;79,51;10,23;-1,32;1,32;-58,63;-12,96;-11,07;0,22;0,78;0,01;-17,25;;;18,57;-10,89;0,03;972.500.648,40
PDGR3;0,30;;-0,03;0,00;0,02;60,91;-21,85;-681,34;-0,79;-47,08;-46,29;;0,17;-0,01;-0,10;0,22;-17,17;-87,98;2,46;-5,12;6,19;0,13;-23,60;;668.856,67;-69,17;-11,88;0,00;23.335.941,30
PDTC3;3,50;;12,15;1,81;0,51;35,71;10,17;5,93;7,09;8,74;1,65;0,42;0,72;1,39;-1,69;2,10;14,89;4,19;13,54;0,28;0,72;0,71;276,10;3,91;282.698,14;1,93;0,29;0,01;277.251.324,00
PEAB3;42,00;0,71;35,19;1,15;0,91;81,61;36,95;45,24;43,09;40,18;-6,23;-0,17;15,92;3,21;-1,31;12,49;3,27;2,58;1,61;0,79;0,21;0,06;-34,50;-9,41;16.774,50;36,52;1,19;-0,29;855.316.511,50
